from,to,text,time_start,time_end,comment
NWA333,ID-1,eighteen twenty five triple three heavy see you later,501.04,503.08,
DAL225,ID-1,boston departure delta two twenty five heavy out of eight hundred climbing to five thousand,528.49,533.5,
ID-1,DAL225,delta two twenty five heavy departure radar contact climb and maintain one zero thousand ten thousand,535.11,539.7,
DAL225,ID-1,climb to ten thousand delta two twenty five heavy,542.82,544.9,
ID-1,DAL225,delta two twenty five heavy turn left heading zero niner zero,555.73,558.45,
DAL225,ID-1,zero nine zero two twenty five heavy,558.72,560.48,
ID-1,DAL225,delta two twenty five turn right heading two seven zero,612.56,615.06,
DAL225,ID-1,right two seventy delta two twenty five heavy,615.87,617.89,
ID-1,DAL225,delta two two five heavy contact boston approach on one two seven point two,642.63,646.14,
DAL225,ID-1,twenty seven two delta two twenty five heavy,646.39,649.12,
UPS2015,ID-1,departure u p ah u p s twenty fifteen with you out of one point five,650.53,654.02,
ID-1,UPS2015,u p s twenty fifteen heavy departures turn left heading zero niner zero radar contact say the altitude again,654.56,659.14,
ID-1,UPS2015,roger that checks ah climb and maintain one zero thousand ten thousand,665.79,669.21,
UPS2015,ID-1,roger climbing to one zero thousand u p s twenty fifteen,669.98,673.13,
ID-1,UPS2015,u p s twenty fifteen heavy turn right heading one ah three zero,703.51,707.38,
UPS2015,ID-1,a right turn to one three zero u p s twenty fifteen,708.21,710.77,
ID-1,UPS2015,u p s twenty fifteen contact boston approach one two zero point six,713.03,716.55,
UPS2015,ID-1,one two zero point six u p s twenty fifteen good day,717.41,720.09,
ID-1,UPS2015,day,720.29,720.52,
ID-1,AAL273,american two seventy three departure radar contact turn left zero niner zero climb and maintain one zero thousand,743.08,747.91,
AAL273,ID-1,zero nine zero and up to one zero thousand american two seventy three,748.59,752.78,
ID-1,AAL273,american two seventy three contact boston approach next ah one one eight point two five,756.96,761.74,
AAL273,ID-1,eighteen twenty five so long,762.12,764.21,
ID-1,AAL273,day,764.44,764.74,
USA1423,ID-1,one zero zero and up to one zero thousand for u s air fourteen twenty three,805.66,809.88,
ID-1,USA1423,u s air fourteen twenty three turn right heading one four zero contact approach one two zero point six,912.41,916.94,
USA1423,ID-1,one forty twenty point six for u s air fourteen twenty three so long,917.88,921.88,
DHL115,ID-1,departure d h l one fifteen out of one point three,1132.72,1135.17,
ID-1,DHL115,d h l one fifteen departures radar contact climb and maintain one zero thousand turn left heading one zero zero,1136.84,1142.24,
ID-1,AAL531,american five thirty one boston departures ah radar contact climb and maintain one zero thousand,1202.22,1207.41,
AAL531,ID-1,cleared to one zero thousand american five thirty one,1207.95,1209.96,
ID-1,DHL115,d h l one fifteen turn right heading two seven zero,1210.58,1213.13,
DHL115,ID-1,right heading two seven oh d h l one fifteen,1214.77,1217.32,
ID-1,AAL531,american five thirty one turn left heading zero nine zero,1221.56,1223.97,
AAL531,ID-1,zero nine zero american five thirty one,1224.84,1226.67,
ID-1,DHL115,d h l one fifteen contact boston approach one two seven point two,1238.95,1242.3,
DHL115,ID-1,one twenty seven two d h l one fifteen,1242.82,1245.06,
COA333,ID-1,departure continental triple three one thousand for five thousand one forty,1288.49,1292.6,
ID-1,COA333,continental triple three boston departures ah climb and maintain one zero thousand radar contact,1294.9,1300.34,
COA333,ID-1,climbing to ten thousand speed restriction continental triple three,1300.83,1304.31,
ID-1,AAL531,american five thirty one turn right heading one five zero contact approach one two zero point six,1305.18,1309.59,
AAL531,ID-1,one five zero two six two zero point one,1309.89,1312.93,
ID-1,AAL531,ah one two zero point six,1313.02,1314.75,slightly garbled due to two parties transmitting simultaneously
AAL531,ID-1,six zero point six,1315.51,1316.66,
ID-1,COA333,continental triple three turn left heading zero niner zero,1322.46,1325.06,
COA333,ID-1,left to zero nine zero continental triple three,1325.02,1327.52,
ID-1,COA333,continental triple three squawk three four ah two three,1332.81,1336.36,
COA333,ID-1,three four two three continental triple three,1337.06,1339.68,
ID-1,COA333,continental triple three turn right heading two seven zero,1368.19,1370.86,
COA333,ID-1,right two seven zero continental triple three,1370.88,1373.39,
COA717,ID-1,departure continental seven seventeen is with you one point three for five,1406.57,1409.79,
ID-1,COA717,continental seven seventeen departures ah radar contact turn left heading one zero zero climb and maintain one zero thousand,1414.76,1420.88,
COA717,ID-1,one zero zero up to one five thousand is continental seven seventeen,1421.87,1425.16,
ID-1,COA717,roger the altitude is ten one zero thousand,1425.71,1428.12,
COA717,ID-1,one zero thousand thanks,1428.1,1429.22,
ID-1,COA333,continental triple three contact approach one two seven point two,1430.21,1433.18,
COA333,ID-1,twenty seven two good day continental triple three,1433.27,1435.28,
NERA3753,ID-1,and departure nera thirty seven fifty three is with you out of nine hundred,1452.04,1455.03,
ID-1,NERA3753,nera thirty seven fifty three boston departure is radar contact climb and maintain four thousand,1455.31,1459.13,
NERA3753,ID-1,thirty seven fifty three,1459.97,1461.09,
ID-1,COA717,continental seven seventeen turn right heading one five zero,1483.65,1486.05,
COA717,ID-1,one five zero seven seventeen,1486.48,1488.38,
ID-1,NERA3753,nera thirty seven fifty three squawk five three two two,1496.1,1499.02,
NERA3753,ID-1,thirty seven fifty three,1500.6,1502.06,
ID-1,COA717,continental seven seventeen turn right heading two seven zero contact approach one two seven point two,1506.28,1510.51,
COA717,ID-1,twenty seven point two right to ah two seventy continental seven seventeen,1513.2,1517.78,
ID-1,NERA3753,nera thirty seven fifty three turn left heading one four zero,1518.2,1520.93,
NERA3753,ID-1,thirty seven fifty three,1521.52,1522.66,
MID920,ID-1,boston departure midway ah nine twenty is out of fourteen hundred for five thousand turning left to one forty,1536.82,1541.44,
ID-1,MID920,midway nine twenty boston departure is radar contact climb and maintain one zero thousand ten thousand turn left heading one zero zero,1541.58,1547.0,
MID920,ID-1,up to ten left to ah one hundred heading midway ah nine twenty,1547.22,1550.27,
ID-1,MID920,midway nine twenty turn left heading zero eight zero contact boston approach one one eight point two five,1615.32,1620.12,
MID920,ID-1,zero eight zero and ah twenty eight twenty five ah midway nine twenty so long,1620.31,1624.37,
MID920,ID-1,eighteen twenty five thank you sir,1626.38,1627.69,
ID-1,COA1281,continental twelve eighty one boston departures roger radar contact climb and maintain ah one zero thousand ten thousand,1633.89,1639.93,
COA1281,ID-1,up to ten continental ah twelve eighty one,1640.12,1642.31,
ID-1,COA1281,continental twelve eighty one turn left heading one zero zero,1642.64,1644.76,
COA1281,ID-1,one zero zero,1645.32,1646.34,
ID-1,NERA3753,nera thirty seven fifty three climb and maintain five thousand contact approach on one ah two zero point six,1651.42,1656.67,
NERA3753,ID-1,thirty seven fifty three out of four for five,1658.03,1660.21,
ID-1,NERA3753,boston approach one two zero point six,1661.53,1663.63,
NERA3753,ID-1,roger,1664.25,1664.75,
ID-1,COA1281,continental twelve eighty one turn ah left heading zero eight zero contact boston approach one one eight point two five,1697.51,1703.57,
COA1281,ID-1,eighteen twenty five and zero eight zero twelve eighty one,1703.59,1706.55,
ID-1,TWA45,t w a forty five heavy boston departure radar contact climb and maintain one zero thousand turn left heading one one zero,1719.1,1724.62,
TWA45,ID-1,one one zero one zero thousand t w a forty five heavy roger,1725.0,1727.96,
COA1281,ID-1,and departure twelve continental twelve eighty one say the frequency again,1729.62,1732.68,
ID-1,COA1281,one one eight twenty five,1732.77,1734.37,
ID-1,TWA45,t w a forty five heavy turn left heading zero eight zero,1745.35,1748.16,
TWA45,ID-1,zero eight zero t w a forty five heavy,1748.46,1750.53,
ID-1,TWA45,t w a forty five heavy turn right heading one four zero contact boston approach one two zero point six,1805.7,1811.23,
TWA45,ID-1,one four zero one two zero point six t w a forty five heavy,1811.47,1814.48,
MOW302,ID-1,and departure mohawk three zero two is with you out of a thousand assigned two ninety,1878.35,1881.76,
ID-1,MOW302,mohawk three zero two departure climb and maintain four thousand radar contact,1882.3,1885.69,
MOW302,ID-1,up to four thousand you were garbled say again,1887.99,1890.06,
ID-1,MOW302,climb to four,1891.57,1892.42,
MOW302,ID-1,roger,1892.97,1893.63,
ID-1,MOW302,mohawk three zero two fly heading three two zero contact approach on one one eight point two five,1940.03,1944.52,
MOW302,ID-1,eighteen twenty five and three twenty on the heading mohawk three zero two,1944.73,1947.78,
MOW302,ID-1,and ah departure mohawk three zero two say again that frequency,1984.33,1987.36,
ID-1,MOW302,one one eight two five,1987.73,1988.99,
MOW302,ID-1,o k we tried the wrong one sorry about that,1989.02,1991.4,
ID-1,MOW302,roger,1991.78,1992.19,
UAL127,ID-1,boston united one twenty seven heavy leaving one for five thousand,2094.35,2097.99,
ID-1,UAL127,united ah one twenty seven departure radar contact turn left heading one zero zero climb and maintain one zero thousand,2106.15,2112.86,
UAL127,ID-1,ah head one zero zero climb one zero thousand united ah one twenty seven heavy,2113.72,2118.57,
ID-1,UAL127,united ah one twenty seven heavy turn right heading two seven zero,2195.54,2198.31,
UAL127,ID-1,right turn ah head two seven zero united one twenty seven heavy,2198.76,2202.36,
ID-1,NWA317,northwest ah three one seven boston departures radar contact turn left heading zero niner zero climb and maintain one zero thousand ten thousand,2214.04,2220.39,
NWA317,ID-1,turn left heading zero nine zero climb to ah one zero thousand ten thousand northwest three one seven,2223.17,2229.45,
ID-1,UAL127,united one twenty seven heavy contact approach one two seven point two,2230.55,2234.31,
UAL127,ID-1,two seven two united one twenty seven,2234.49,2236.58,
ID-1,NWA317,i guess that was blocked out northwest three seventeen that was a one fifty heading,2288.14,2291.36,
NWA317,ID-1,heading one five zero for northwest ah three seventeen,2291.87,2296.56,
ID-1,NWA317,thank you,2296.69,2297.31,
ID-1,USA764,u s air seven six four departures ah radar contact turn left zero nine zero climb and maintain one zero thousand,2304.59,2309.93,
USA764,ID-1,zero nine zero and one zero thousand u s air seven sixty four,2310.13,2314.45,
ID-1,NWA317,northwest three seventeen contact approach one two zero point six,2316.39,2319.5,
NWA317,ID-1,one two zero point six good morning,2320.85,2322.88,
ID-1,NERA3731,nera thirty seven thirty one departure,2340.41,2342.06,
ID-1,USA1095,u s air ten ninety five boston departure radar contact climb and maintain one zero thousand ten thousand,2348.92,2353.77,
USA1095,ID-1,up to one zero thousand u s ten ninety five,2354.06,2356.04,
ID-1,USA1095,united ten ninety five turn u s air ten ninety five excuse me turn left to zero niner zero,2363.92,2368.2,
USA1095,ID-1,zero nine zero u s ten ninety five,2368.83,2370.61,
ID-1,USA764,u s air seven sixty four turn right heading two seven zero,2370.71,2373.66,
USA764,ID-1,right turn two seven zero u s air seven sixty four,2373.75,2377.12,
NERA3731,ID-1,and departure nera thirty seven thirty one ah on a right turn to three three zero three thousand,2380.59,2384.73,
ID-1,NERA3731,nera thirty seven thirty one departures radar contact ah seven miles west say altitude now turn right heading three four zero,2385.43,2392.02,
NERA3731,ID-1,three four zero and ah we are out of two thousand ah eight hundred thirty seven thirty one,2392.18,2396.06,
ID-1,NERA3731,nera thirty seven thirty one climb and maintain four thousand,2398.52,2401.03,
NERA3731,ID-1,four thousand thirty seven thirty one,2401.05,2402.51,
ID-1,USA764,u s air seven sixty four contact approach on ah one two seven point two,2404.88,2408.51,
USA764,ID-1,twenty seven two have a nice day,2408.74,2410.57,
ID-1,USA1095,u s air ten ninety five turn right heading one three zero,2412.75,2415.19,
USA1095,ID-1,right to one thirty u s ten ninety five,2415.81,2417.53,pilot uses incomplete ident
ID-1,NWA1229,northwest twelve twenty nine boston departures roger ah radar contact climb and maintain ah one zero thousand ten thousand,2422.5,2427.81,
NWA1229,ID-1,going to ten northwest twelve twenty nine,2428.0,2429.7,
ID-1,NERA3731,nera thirty seven thirty one contact approach one one eight point two five,2430.07,2433.1,
NERA3731,ID-1,one eight point two five thirty seven thirty one,2433.14,2434.91,
ID-1,NWA1229,northwest twelve twenty nine turn left heading zero niner zero,2437.93,2440.47,
NWA1229,ID-1,zero nine zero,2440.75,2441.66,
GAA449,ID-1,boston departure good morning bizex four forty nine coming up a thousand heading two six zero,2469.13,2473.04,
ID-1,GAA449,ex four forty nine boston departures radar contact climb and maintain four thousand,2473.12,2476.81,controller uses incomplete ident
ID-1,GAA449,up to four thousand bizex four forty nine,2477.32,2479.6,
ID-1,USA1095,u s air ten ninety five turn right heading two seven zero,2480.39,2482.92,
USA1095,ID-1,right two seventy u s ten ninety five,2483.07,2485.05,pilot uses incomplete ident
ID-1,USA1095,u s air ten ninety five and contact boston approach one two seven point two,2485.55,2489.15,
USA1095,ID-1,twenty seven two u s ten ninety five,2489.41,2491.13,pilot uses incomplete ident
ID-1,NWA1229,northwest twelve twenty nine turn left heading zero eight zero contact boston approach one one eight point two five,2491.39,2496.14,
ID-1,GAA449,bizex four forty nine contact boston approach one two seven point two,2499.31,2502.58,
GAA449,ID-1,one two seven point two bizex four forty nine,2503.2,2505.18,
USA233,ID-1,boston departure good morning u s air two thirty three one thousand two hundred for five thousand,2549.29,2553.64,
ID-1,USA233,u s air two thirty three boston departures radar contact climb and maintain one zero thousand ten thousand turn left heading one zero zero,2553.55,2559.92,
USA233,ID-1,turn left to one zero zero climb to one zero thousand u s air two thirty three,2560.14,2564.31,
ID-1,USA233,u s air ah two thirty three turn left heading zero eight zero,2587.08,2589.89,
USA233,ID-1,zero eight zero u s air two thirty three,2590.21,2592.74,
GAA588,ID-1,boston bizex five eighty eight out of one point two good morning,2595.46,2598.63,
ID-1,GAA588,bizex five eighty eight boston departures radar contact climb and maintain four thousand,2599.08,2602.46,
GAA588,ID-1,four thousand bizex five eighty eight,2603.48,2605.51,
ID-1,USA233,u s air two thirty three turn right heading one four zero contact approach one two zero point six,2640.0,2644.6,
USA233,ID-1,right to one four zero one two zero point six u s air two thirty three good day,2645.34,2650.01,
ID-1,USA233,day,2649.95,2650.33,
TPS1161,ID-1,ah trump eleven sixty one is one for five,2650.43,2652.9,
ID-1,TPS1161,trump eleven sixty one departures climb and maintain one zero thousand ten thousand radar contact turn left heading one zero zero,2652.94,2658.61,
TPS1161,ID-1,one hundred on the heading up to ten thousand trump eleven sixty one,2658.9,2661.52,
ID-1,GAA588,bizex five eighty eight turn right heading three two zero contact approach one one eight point two five,2662.77,2666.98,
PCN3561,ID-1,good morning departure precision thirty five sixty one is with you out of nine hundred two seven zero assigned,2680.09,2685.48,
ID-1,PCN3561,thirty five sixty one boston departures radar contact climb and maintain four thousand,2685.86,2689.62,controller uses incomplete ident
PCN3561,ID-1,up to four thousand precision thirty five sixty one,2689.94,2692.46,
ID-1,PCN3561,precision thirty five sixty one contact approach one two seven point two,2724.4,2727.94,
PCN3561,ID-1,one two seven point two precision thirty five sixty one so long,2728.0,2731.4,
USA689,ID-1,u s air six eighty nine out of nine hundred,2734.54,2736.21,
ID-1,USA689,u s air six eighty nine boston departures roger climb and maintain one zero thousand ten thousand radar contact turn left heading one one zero,2736.54,2742.87,
USA689,ID-1,up to ten left one one zero u s air six eighty nine,2743.62,2746.12,
ID-1,TPS1161,trump eleven sixty one turn right heading two seven zero,2751.09,2753.62,
TPS1161,ID-1,right to west trump eleven sixty one,2754.23,2756.05,
ID-1,TPS1161,trump eleven sixty one contact approach one two seven point two,2786.59,2789.61,
TPS1161,ID-1,twenty seven two good day,2789.84,2791.11,
ID-1,USA689,u s air six eighty nine turn left heading zero eight zero contact boston approach one one eight point two five,2792.89,2797.75,
USA689,ID-1,left zero eight zero eighteen twenty five u s air six eight nine,2798.49,2800.77,
ID-1,AAL1245,american twelve forty five heavy departures radar contact turn left heading zero niner zero climb and maintain one zero thousand,2817.15,2823.14,
AAL1245,ID-1,zero nine zero one zero thousand american twelve forty five heavy,2823.35,2826.64,
ID-1,AAL1245,american twelve forty five heavy turn right heading one five zero contact boston approach one two zero point six,2904.33,2909.2,
AAL1245,ID-1,one five zero and one two zero point six american twelve forty five heavy,2909.88,2913.28,
ID-1,COA433,craft calling departure ah say again please,2954.92,2957.13,
COA433,ID-1,continental four thirty three twelve hundred for five thousand,2957.15,2959.75,
ID-1,COA433,continental four fifteen ah roger,2959.92,2962.18,controller uses wrong aircraft ident
ID-1,COA433,continental four thirty three o k thanks a lot ah you are radar contact climb and maintain one zero thousand turn left heading one one zero,2964.78,2970.69,
COA433,ID-1,left to one one zero up to ten thousand continental four thirty three,2971.13,2974.04,
ID-1,COA433,continental four thirty three turn left heading zero niner zero,2986.91,2989.32,
COA433,ID-1,zero nine zero continental four thirty three,2989.75,2991.88,
ID-1,AAL1387,american thirteen eighty seven heavy boston departures radar contact climb and maintain one zero thousand ten thousand turn left heading one zero zero,3037.74,3044.15,
AAL1387,ID-1,one zero thousand on the altitude one zero zero on the heading for american thirteen eighty seven heavy,3044.71,3048.97,
ID-1,COA433,continental four thirty three turn right heading two seven zero contact boston approach one two seven point two,3049.63,3054.92,
COA433,ID-1,twenty seven two heading two seven zero continental four thirty three,3055.23,3058.5,
ID-1,AAL1387,american thirteen eighty seven heavy turn left heading zero eight zero,3080.66,3083.76,
AAL1387,ID-1,zero eight zero thirteen eighty seven heavy,3083.81,3085.82,
ID-1,AAL1387,american thirteen eighty seven heavy turn right heading two seven zero contact boston approach one two seven point two,3137.8,3143.25,
AAL1387,ID-1,two seven zero and twenty seven two on the frequency for thirteen eighty seven heavy so long,3143.74,3147.82,
ID-1,AAL1387,day,3147.93,3148.35,
USA1509,ID-1,hello departure u s air fifteen oh nine is with you out of six hundred feet for five thousand,3158.35,3162.2,
ID-1,USA1509,u s air fifteen zero nine departure radar contact climb and maintain one zero thousand ten thousand,3162.2,3166.47,
USA1509,ID-1,up to ten thousand feet u s air fifteen oh nine,3166.67,3169.22,
ID-1,USA1509,u s air fifteen zero nine turn left heading zero eight zero,3177.02,3179.67,
USA1509,ID-1,zero eight zero u s air fifteen oh nine roger,3180.59,3182.7,
ID-1,USA1509,u s air fifteen zero nine contact approach on ah one one eight point two five,3197.42,3201.45,
USA1509,ID-1,eighteen and a quarter u s air fifteen oh nine good day,3202.1,3204.38,
ID-1,USA1509,too,3204.42,3204.7,
ID-1,NWA101,northwest one zero one departures ah radar contact turn left heading one zero zero climb and maintain ah one zero thousand,3242.09,3248.31,
NWA101,ID-1,ah one zero zero on the heading and ten thousand northwest one oh one,3248.57,3251.96,
ID-1,NWA101,northwest one zero one ah turn left heading zero eight zero contact approach on one one eight point two five,3275.94,3280.97,
NWA101,ID-1,zero eight zero and eighteen twenty five one oh one,3281.24,3283.38,
ID-1,PAA219A,clipper two nineteen alpha departures radar contact say altitude leaving turn left heading zero nine zero,3299.49,3303.77,
ID-1,PAA219A,clipper two nineteen alpha climb and maintain ah one zero thousand ten thousand,3328.43,3332.26,
PAA219A,ID-1,cleared to ten thousand clipper ah two nineteen alpha,3332.77,3335.58,
ID-1,PAA219A,clipper two nineteen alpha turn right heading one four zero contact approach one two zero point six,3355.62,3360.51,
PAA219A,ID-1,okay one two zero point six and ah right heading one four zero,3361.56,3365.96,
USA369,ID-1,and departure u s air three sixty nine is with you out of one thousand for five,3374.25,3378.47,
ID-1,USA369,u s air three sixty nine departures radar contact climb and maintain one zero thousand ten thousand turn left heading one zero zero,3378.83,3384.71,
USA369,ID-1,left to one zero zero up to ten thousand u s air three zero nine,3385.05,3389.5,pilot used wrong ident
ID-1,USA369,roger i knew who it was,3393.14,3394.84,
USA369,ID-1,okay,1578.63426,1579.45335,
GAA491,ID-1,departure good morning bizex four ninety one is with you out of ah five hundred,3401.39,3404.56,
ID-1,GAA491,bizex four ninety one boston departures good morning climb and maintain ah four thousand radar contact,3404.85,3409.09,
GAA491,ID-1,up to four thousand four ninety one,3409.24,3410.83,
ID-1,USA369,u s air three sixty nine turn right heading two seven zero contact approach one two seven point two,3457.98,3462.69,
ID-1,GAA491,bizex four ninety one squawk three five four six,3471.31,3474.66,
GAA491,ID-1,three five four six here you go,3475.2,3476.66,
USA808,ID-1,good morning boston u s air eight zero eight is one thousand for five thousand,3483.37,3487.5,
ID-1,USA808,u s air eight zero eight boston departures radar contact climb and maintain one zero thousand ten thousand turn left heading ah one zero zero,3487.77,3493.92,
USA808,ID-1,u s air eight oh eight to one zero thousand left to one zero zero,3495.51,3499.45,
ID-1,GAA491,bizex four ninety one contact boston approach one two seven point two,3512.87,3516.07,
GAA491,ID-1,four ninety one so long sir,3516.73,3518.09,
ID-1,USA808,u s air eight zero eight contact boston approach one one eight point two five,3531.66,3535.15,
USA808,ID-1,u s air eight oh eight one one eight two five so long,3536.29,3539.46,
ID-1,CEN900,canadian nine hundred boston departure radar contact ah climb and maintain four thousand turn right heading three ah two zero,3553.35,3559.17,
CEN900,ID-1,three two zero and up to four thousand for nine hundred,3559.63,3561.97,
ID-1,CEN900,canadian nine hundred contact boston approach one one eight point two five,3562.39,3565.66,
CEN900,ID-1,eighteen twenty five nine hundred,3565.8,3567.65,pilot omits part of ident
DAL565,ID-1,delta five sixty five out of a thousand,3571.34,3573.67,
ID-1,DAL565,delta five sixty five boston departures roger ah radar contact climb and maintain one zero thousand turn left heading one zero zero,3573.91,3579.7,
DAL565,ID-1,ten thousand one hundred heading delta five sixty,3579.88,3582.31,pilot used wrong call sign
ID-1,DAL565,delta five sixty five turn left heading zero eight zero contact approach on one one eight point two five,3617.77,3622.34,
DAL565,ID-1,eighty heading ah eighteen twenty five delta five sixty five,3622.72,3626.19,
NERA3781,ID-1,boston departure nera thirty seven eighty one leaving seven hundred,3653.22,3656.97,
NERA3781,ID-1,yes sir good morning,3661.28,3662.36,
ID-1,NERA3781,o k,3662.93,3663.84,
NERA3714,ID-1,boston departure nera thirty seven fourteen is out of one point four for three thousand,3664.55,3668.36,
ID-1,NERA3714,nera thirty seven fourteen departures radar contact climb and maintain four thousand turn right heading three three zero,3668.4,3673.19,
NERA3714,ID-1,up to four thousand right to three three zero nera thirty seven fourteen,3673.52,3676.58,
ID-1,NERA3781,and nera thirty seven eighty one departures radar contact climb and maintain four thousand,3677.08,3680.81,
NERA3781,ID-1,climbing to four thousand thirty seven eighty one,3681.3,3683.48,
ID-1,NERA3781,thirty seven eighty one say altitude leaving now,3683.57,3685.53,controller omits part of ident
NERA3781,ID-1,one point two what do you show,3685.82,3687.37,
ID-1,NERA3781,one point ah three,3687.9,3689.32,
NERA3781,ID-1,o k,3690.07,3690.82,
ID-1,NERA3714,nera thirty seven fourteen contact approach on ah one one eight point two five,3696.17,3700.17,
NERA3714,ID-1,one one eight point two five nera thirty seven fourteen good day,3700.43,3703.08,
ID-1,NERA3781,nera thirty seven eighty one turn left heading one four zero,3703.49,3705.94,
NERA3781,ID-1,left turn one four zero thirty seven eighty one,3706.38,3708.49,
PAA523,ID-1,morning departure clipper five two three one thousand for five thousand,3779.28,3782.64,
ID-1,PAA523,clipper five twenty three departure radar contact climb and maintain one zero thousand turn left heading one zero zero,3782.72,3787.76,
PAA523,ID-1,one zero thousand the heading one zero zero clipper five two three,3788.46,3791.88,
ID-1,NERA3781,nera thirty seven eighty one climb and maintain five thousand,3801.32,3803.86,
NERA3781,ID-1,up to five thirty seven eighty one,3804.3,3805.99,
ID-1,NERA3781,thirty seven eighty one contact approach one two zero point six,3806.04,3809.03,controller omits part of ident
NERA3781,ID-1,one two zero six see you now,3809.29,3810.75,
USC411,ID-1,boston departure good morning starcheck four eleven is with you three zero zero one thousand for three thousand,3816.99,3821.08,
ID-1,USC411,starcheck four eleven departure radar contact climb and maintain four thousand,3821.09,3824.26,
USC411,ID-1,up to four thousand starcheck four eleven,3824.4,3826.33,
USA417,ID-1,boston departure u s air four seventeen eight hundred for five thousand,3843.19,3847.17,
ID-1,USA417,u s air four seventeen departures radar contact climb and maintain one zero thousand ten thousand turn left one zero zero,3847.15,3852.59,
USA417,ID-1,one zero thousand u s air four seventeen,3853.44,3855.92,
ID-1,USA417,roger ten thousand one hundred heading,3856.61,3858.52,
USA417,ID-1,one hundred heading ten thousand u s air four seven,3860.53,3863.18,pilot stopped transmitting before completing last word
ID-1,USC411,starcheck four eleven turn right heading three two zero contact approach on ah one one eight point two five,3871.91,3877.21,
USC411,ID-1,starcheck four eleven eighteen twenty five three twenty on the heading,3877.88,3880.55,
ID-1,PAA523,clipper five twenty three turn right heading two seven zero contact approach one two seven point two,3881.45,3885.68,
PAA523,ID-1,two seven zero one twenty seven two clipper five twenty three good day,3886.11,3889.22,
ID-1,PAA523,day,3889.29,3889.62,
NWA1299,ID-1,departure northwest twelve ninety nine with you climbing to five thousand,3911.81,3915.18,
ID-1,NWA1299,northwest twelve ninety nine departure radar contact say altitude leaving turn left one zero zero,3915.21,3919.38,
NWA1299,ID-1,left to one zero zero one point five on the altitude,3919.97,3922.74,
ID-1,USA417,u s air four seventeen turn left heading zero eight zero contact approach one one eight point two five,3923.48,3927.85,
USA417,ID-1,zero eight zero one one eight twenty five u s air four seventeen,3928.23,3931.46,
PCN3541,ID-1,and departure precision thirty five forty one on board eight hundred,3938.75,3941.79,
ID-1,PCN3541,precision thirty five forty one boston departures roger,3945.55,3948.15,
ID-1,PCN3541,and thirty five forty one radar contact climb and maintain four thousand,3949.9,3953.11,
PCN3541,ID-1,climb maintain four thirty five forty one,3953.2,3955.54,
ID-1,NWA1299,northwest twelve ninety nine turn left heading zero eight zero climb and maintain one zero thousand,3958.01,3962.05,
NWA1299,ID-1,climbing to ten zero eight zero on the heading northwest twelve ninety nine,3962.8,3966.42,
ID-1,NWA1299,northwest twelve ninety nine turn right heading two seven zero,3995.51,3998.39,
NWA1299,ID-1,right to two seven oh northwest twelve ninety nine,3999.28,4001.86,
ID-1,PCN3541,precision thirty five forty one turn left heading one eight zero intercept the airway,4004.46,4007.52,
PCN3541,ID-1,one eighty to intercept precision thirty five forty one,4007.71,4010.13,
ID-1,UAL669,united six sixty nine heavy departures radar contact climb and maintain one zero thousand ten thousand turn left heading one zero zero,4029.11,4035.04,
UAL669,ID-1,ten thousand one hundred degree heading ah six sixty nine heavy,4035.23,4038.02,
ID-1,NWA1299,northwest twelve ninety nine contact approach one two seven point two,4039.44,4042.63,
NWA1299,ID-1,one two seven point two northwest twelve ninety nine,4044.54,4047.2,
ID-1,PCN3541,precision thirty five forty one contact approach one two zero point six,4047.12,4050.45,
PCN3541,ID-1,one two zero point six thirty five forty one,4050.64,4052.98,pilot omits part of ident
ID-1,UAL669,united six sixty nine ah heavy turn left heading zero eight zero contact boston approach one one eight point two five,4075.35,4081.29,
UAL669,ID-1,okay zero eight zero eighteen twenty five united ah six six nine,4081.89,4084.61,
NERA3721,ID-1,and boston departure nera thirty seven twenty one is through seven hundred for three thousand,4144.17,4148.97,
ID-1,NERA3721,nera thirty seven twenty one departure radar contact climb and maintain four thousand,4149.49,4153.14,
NERA3721,ID-1,on up to four thousand nera thirty seven twenty one,4153.8,4156.29,
ID-1,NERA3721,nera thirty seven twenty one fly heading one eight zero contact approach on one ah two zero point six,4193.85,4199.4,
NERA3721,ID-1,one eight zero on the heading and ah twenty point six see you,4199.45,4202.48,
USA1402,ID-1,u s air fourteen oh two with you,4209.2,4211.58,
ID-1,USA1402,u s air fourteen zero two departures radar contact say altitude leaving turn left heading one one zero,4212.29,4216.6,
USA1402,ID-1,heading of one one zero leaving twelve hundred,4218.25,4220.82,
NWA383,ID-1,morning departure northwest three eighty three out of six hundred,4282.52,4285.23,
ID-1,NWA383,northwest three eighty three boston departure radar contact climb and maintain one zero thousand ten thousand,4285.82,4290.52,
NWA383,ID-1,one zero ten thousand northwest three eighty three,4290.63,4292.81,
ID-1,USA1402,u s air fourteen zero two climb and maintain one zero thousand turn right heading two eight zero,4297.71,4301.73,
USA1402,ID-1,one zero thousand and two eight zero on the heading,4302.97,4305.99,
ID-1,NWA383,northwest ah three ah eighty three turn left heading zero eight zero,4318.35,4323.9,
NWA383,ID-1,left zero eight zero northwest three eighty three,4324.2,4326.12,
ID-1,USA1402,u s air fourteen zero two contact approach on one two seven point two,4326.91,4330.22,
USA1402,ID-1,twenty seven two good day,4331.07,4332.8,
ID-1,NWA383,northwest ah three eighty three contact boston approach one one eight point two five,4346.38,4350.36,
